ID;SKU;Permalink;_cost;_reference;_sref1;_sref2;"Regular Price";"Tax Class";Title
5890;PAPOLG001-adulte-860-x-700-h-700-chocolat-br350;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=chocolat-br350;181,25965;PAPOLGA;BR350;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Chocolat BR350"
5895;PAPOLG001-adulte-860-x-700-h-700-sable;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=sable;181,25965;PAPOLGA;SABLE;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Sable"
5901;PAPOLGENFANT-enfant-560-x-480-h-490-bleu-cobalt-bl102;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=bleu-cobalt-bl102;91,2197;PAPENFANT;BL102;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Bleu cobalt BL102"
5902;PAPOLGENFANT-enfant-560-x-480-h-490-bordeaux-r747;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=bordeaux-r747;91,2197;PAPENFANT;R747;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Bordeaux R747"
5903;PAPOLGENFANT-enfant-560-x-480-h-490-chocolat-br350;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=chocolat-br350;91,2197;PAPENFANT;BR350;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Chocolat BR350"
5904;PAPOLGENFANT-enfant-560-x-480-h-490-fuchsia-r615;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=fuchsia-r615;91,2197;PAPENFANT;R615;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Fuchsia R615"
5905;PAPOLGENFANT-enfant-560-x-480-h-490-gris-anthracite-g932;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=gris-anthracite-g932;91,2197;PAPENFANT;G932;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Gris Anthracite G932"
5906;PAPOLGENFANT-enfant-560-x-480-h-490-gris-sourie-g587;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=gris-sourie-g587;91,2197;PAPENFANT;G587;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Gris souris G587"
5908;PAPOLGENFANT-enfant-560-x-480-h-490-jaune-moutarde-j713;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=jaune-moutarde-j713;91,2197;PAPENFANT;J713;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Jaune Moutarde J713"
5909;PAPOLGENFANT-enfant-560-x-480-h-490-noir;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=noir;91,2197;PAPENFANT;NOIR;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Noir"
5910;PAPOLGENFANT-enfant-560-x-480-h-490-orange-or548;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=orange-or548;91,2197;PAPENFANT;OR548;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Orange OR548"
5911;PAPOLGENFANT-enfant-560-x-480-h-490-rouge-r701;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=rouge-r701;91,2197;PAPENFANT;R701;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Rouge R701"
5912;PAPOLGENFANT-enfant-560-x-480-h-490-sable;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=sable;91,2197;PAPENFANT;SABLE;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Sable"
5913;PAPOLGENFANT-enfant-560-x-480-h-490-taupe-g1519;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=taupe-g1519;91,2197;PAPENFANT;G1519;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Taupe G1519"
5914;PAPOLGENFANT-enfant-560-x-480-h-490-terre-cuite;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=terre-cuite;91,2197;PAPENFANT;TC;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Terre cuite TC"
5915;PAPOLGENFANT-enfant-560-x-480-h-490-terre-cuite-vieillie;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=terre-cuite-vieillie;91,2197;PAPENFANT;TCV;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Terre cuite vieillie TCV"
5917;PAPOLGENFANT-enfant-560-x-480-h-490-vert-olive-v712;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=vert-olive-v712;91,2197;PAPENFANT;V712;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Vert olive G712"
